Implementation,Block cipher with mode of operation,,,,,,,,,,Stream cipher,None
,AES GCM [117],AES CCM [118],AES CBC,Camellia GCM [119],Camellia CBC [120],ARIA GCM [121],ARIA CBC [121],SEED CBC [122],3DES EDE CBC (insecure)[123],GOST 28147-89 CNT (proposed) [82][n 1],ChaCha20-Poly1305 [124],Null (insecure) [n 2]
Botan,Yes,Yes,Yes,Yes,Yes,No,No,Disabled by default,Disabled by default,No,Yes[125],Not implemented
BoringSSL,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,
cryptlib,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Not implemented
GnuTLS,Yes,Yes[37],Yes,Yes,Yes,No,No,No,Disabled by default[126],No,Yes[127],Disabled by default
JSSE,Yes,No,Yes,No,No,No,No,No,Disabled by default[128],No[83],Yes (JDK 12+)[129],Disabled by default
LibreSSL,Yes[41],No,Yes,No,Yes[84],No,No,No[41],Yes,Yes[84],Yes[41],Disabled by default
MatrixSSL,Yes,No,Yes,No,No,No,No,Yes,Disabled by default,No,Yes[130],Disabled by default
Mbed TLS,Yes,Yes [131],Yes,Yes,Yes,Yes[132],Yes[132],No,Yes,No,Yes[133],Disabled by default at compile time
NSS,Yes[134],No,Yes,No[135][n 3],Yes[136],No,No,Yes[137],Yes,No[86][87],Yes[138],Disabled by default
OpenSSL,Yes[139],Disabled by default[50],Yes,No,Disabled by default[50],Disabled by default[140],No,Disabled by default[50],Disabled by default[50],Yes[88],Yes[50],Disabled by default
RSA BSAFE Micro-Edition Suite,Yes,Yes,Yes,No,No,No,Yes,Yes,Lowest priority,No,No,Disabled by default
RSA BSAFE SSL-J,Yes,Yes,Yes,No,No,No,No,No,Disabled by default,No,No,Disabled by default
SChannel XP/2003,No,No,2003 only[141],No,No,No,No,No,Yes,No[89],No,Disabled by default
"SChannel Vista/2008, 2008R2, 2012",No,No,Yes,No,No,No,No,No,Yes,No[89],No,Disabled by default
"SChannel 7, 8, 8.1/2012R2",Yes except ECDHE_RSA [91][92],No,Yes,No,No,No,No,No,Yes,No[89],No,Disabled by default
Schannel 10[142],Yes,No,Yes,No,No,No,No,No,Yes,No[89],No,Disabled by default
Secure Transport OS X 10.6 - 10.10,No,No,Yes,No,No,No,No,No,Yes,No,No,Disabled by default
Secure Transport OS X 10.11,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Disabled by default
wolfSSL,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Disabled by default
Erlang/OTP SSL application,Yes,No,Yes,No,No,No,No,No,Disabled by default,No,Experimental,Disable by default
Implementation,Block cipher with mode of operation,,,,,,,,,,Stream cipher,None
,AES GCM [117],AES CCM [118],AES CBC,Camellia GCM [119],Camellia CBC [120],ARIA GCM [121],ARIA CBC [121],SEED CBC [122],3DES EDE CBC (insecure)[123],GOST 28147-89 CNT (proposed) [82][n 1],ChaCha20-Poly1305 [124],Null (insecure) [n 2]
