<<<<<<< HEAD
Product,Free,License
Apabi Reader,Yes,
Blio,Partial (voices cost),
Bluefire Reader,Partial (Cloudshelf edition is free),Proprietary
DL Reader,Yes,
eBookMobi,No,
Ebook Reader,Yes,Proprietary
i2Reader,No,
iBooks,Yes,Proprietary
Kindle,Yes,
Kobo Reading App,Yes,
KyBook / KyBook 2,Yes,"Proprietary, partially OS"
MapleRead,Partial (CX edition is free),
Marvin,Partial (ability to see more than one book in library cost),
MegaReader,No,
ShuBook 2,Partial,
SideBooks,Yes,Proprietary
Stanza,Yes,Proprietary
uBooks XL,No,
iBouquiniste,No,
=======
Product,Developer,Pagination,Rotation Lock,Auto-scroll,Progress indicator,Backward/forward,Table of Contents,Bookmarks,Resume,Cloud synchronisation,Go To,Full text search
Apabi Reader[1],Beijing Founder Apabi Technology Limited,Yes,Yes,No,In library and in-book,Yes,Yes,Unlimited,Yes,No,Yes,Yes
Blio[2],"K-NFB Reading Technology, Inc.",Yes,No,No,In-book only,Yes,Yes,Unlimited,Yes,No,Yes,Yes
Bluefire Reader[3],Bluefire Productions,Yes,Yes,No,In-book only,Yes,Yes,Unlimited,Yes,Yes,Yes,Yes
DL Reader[4],"Datalogics, Inc",Yes,Yes,No,In-book only,Yes,Yes,Unlimited,Yes,No,Yes,Yes
eBookMobi[5],Tien Thinh Vu,Yes,"support on iPad, portrait only on iPhone",No,In library and in-book,Yes,Yes,Unlimited,Yes,No,Yes,No
Ebook Reader[6],Ebooks.com Limited,Yes,Yes,No,In library and in-book,Yes,Yes,Unlimited,Yes,Yes,Yes,Yes
i2Reader[7],Yuriy Melyushin,Yes,Yes,Yes,In-book only,Yes,Yes,Unlimited,Yes,No,Yes,Yes
iBooks[8],Apple,Yes,No,Manual,In-book only,Yes,Yes,Unlimited,Yes,Yes,Yes,Yes
Kindle[9],AMZN Mobile LLC,Yes,Yes,No,In library and in-book,Yes,Yes,Unlimited,Yes,Yes,Yes,Yes
Kobo Reading App[10],Kobo Inc.,Yes,Yes,No,In-book only,Yes,Yes,Last place marker only,Yes,Yes,Yes,No
KyBook Reader[11],Konstantin Bukreev,Yes,Yes,No,In library and in-book,Yes,Yes,Unlimited,Yes,No,Yes,Yes
KyBook 2[12],Konstantin Bukreev,Yes,Yes,In library and in-book,Yes,Yes,Unlimited,Yes,Yes,Yes,Yes,Yes
MapleRead[13],Maplepop LLC,Yes,Yes,No,In library and in-book,Configurable,Yes,Unlimited,Yes,Yes,Yes,Yes
Marvin[14],Appstafarian,Yes,Yes,Yes,In library and in-book,Configurable,Yes,Unlimited,Yes,Optional,Yes,Yes
MegaReader[15],"Inkstone Software, Inc.",Yes,Yes,No,In-book only,Yes,Yes,Unlimited,Yes,No,Yes,No
PocketBook reader[16],Obreey Products,Yes,Yes,Yes,In-book only,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ShuBook 2[17],Ambibma Ltd.,Yes,Yes,No,In library and in-book,Yes,Yes,Unlimited,Yes,No,Yes,Yes
SideBooks[18],"Tatsumi-system Co., Ltd.",Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes
Stanza[19],Lexcycle,Configurable,Yes,No,In library and in-book,Configurable,Yes,Unlimited,Yes,No,Yes,Yes
uBooks XL[20],Nix Solutions Ltd,Mixed scrolling & pagination,Yes,Yes,Yes,Yes,Yes,Unlimited,Yes,Yes,Yes,Yes
iBouquiniste[21],Sandr,Yes,Yes,No,In-book only,Yes,Yes,Unlimited,Yes,Yes,Yes,Yes
Product,Developer,Pagination,Rotation Lock,Auto-scroll,Progress indicator,Backward/forward,Table of Contents,Bookmarks,Resume,Cloud synchronisation,Go To,Full text search
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
