<<<<<<< HEAD
,Trident,Tasman,Gecko,WebKit,KHTML,Presto,iCab
abbr,Yes[citation needed],Yes,Yes,Yes,Yes,Yes,Yes
acronym,<3.1[IE 4.0] [4],Yes,Yes,Yes,Yes,Yes,Yes
address,<3.1[IE 1.0] [4],Yes,Yes,Yes,Yes,Yes,Yes
blockquote,,Yes,Yes,Yes,Yes,Yes,Yes
br,<3.1[IE 1.0] [5],Yes,Yes,Yes,Yes,Yes,Yes
cite,<3.1[IE 1.0] [4],Yes,Yes,Yes,Yes,Yes,Yes
code,,Yes,Yes,Yes,Yes,Yes,Yes
dfn,,Yes,Yes,Yes,Yes,Yes,Yes
div,<3.1[IE 3.0] [6],Yes,Yes,Yes,Yes,Yes,Yes
em,<3.1[IE 1.0] [4],Yes,Yes,Yes,Yes,Yes,Yes
h1,,Yes,Yes,Yes,Yes,Yes,Yes
h2,,Yes,Yes,Yes,Yes,Yes,Yes
h3,,Yes,Yes,Yes,Yes,Yes,Yes
h4,,Yes,Yes,Yes,Yes,Yes,Yes
h5,,Yes,Yes,Yes,Yes,Yes,Yes
h6,,Yes,Yes,Yes,Yes,Yes,Yes
kbd,,Yes,Yes,Yes,Yes,Yes,Yes
p,<3.1[IE 1.0] [5],Yes,Yes,Yes,Yes,Yes,Yes
pre,<3.1[IE 1.0] [4],Yes,Yes,Yes,Yes,Yes,Yes
q,<3.1[IE 4.0] [4],Yes,Yes,Yes,Yes,Yes,Yes
samp,<3.1[IE 1.0] [4],Yes,Yes,Yes,Yes,Yes,Yes
span,<3.1[IE 3.0] [6],Yes,Yes,Yes,Yes,Yes,Yes
strong,<3.1[IE 1.0] [4],Yes,Yes,Yes,Yes,Yes,Yes
var,,Yes,Yes,Yes,Yes,Yes,Yes
=======
Value,Meaning
Yes,Fully supported
No,Has never been supported
Partial,Only some values are supported
Incorrect,Not implemented correctly in all cases
Experimental,May be incomplete or buggy
Nightly build,Currently in development; full support is expected
Depends,Only supported for the specified conditions
Dropped,No longer supported
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
