<<<<<<< HEAD
Client,Primary developers,Cost,Software license,User interface,Programming language,Computing platform,Website
AndroidChat[1],,Free,GNU GPL,"TUI, GUI",Java,Android,[1]
Mobile Colloquy,Kiji Roshi,US$1.99,BSD License,GUI,Objective-C,iOS,[2]
fIRC,Laurence Muller,Free,GNU GPL,GUI,Java,Android,[3]
Igloo,Jordan Koch,US$5.99,Proprietary,GUI,Swift,iOS,[4]
IRCCloud,IRCCloud Ltd.,Freemium[2],Apache 2.0,GUI,"Objective-C, Java","iOS, Android",[5]
jmIrc,Juho Vähä-Herttua,Free,GNU GPL,GUI,Java,Java ME,[6]
k-IRC,Armond Avanes,Free,GNU GPL,GUI,Java,Java ME,[7]
microirc,,Free,GNU GPL,GUI,C ?,Windows Mobile 5 (and above),[8]
Revolution IRC,MCMrARM,Free,GNU GPL,GUI,Java,Android,[9]
Virca,,Free,GNU GPL,TUI,Java,Java ME,[10]
wIRC,,Free,GNU GPL,GUI,C & JavaScript,WebOS,[11]
WLIrc,Sverre Kristian Valskrå,Free,GNU LGPL,GUI,Java,Java ME,[12]
Yaaic,Sebastian Kaspari,Free,GNU GPL,GUI,Java,Android,[13]
Simple IRC,The Linux Geek,Free,GNU GPL,GUI,Java,Android,[14]
zsIRC,Gargaj,Free,3-clause BSD,GUI,C++,Windows Mobile,[15]
Client,Primary developers,Cost,Software license,User interface,Programming language,Computing platform,Website
=======
Client,Multi-server,UTF-8,Proxy server,irc:// URI scheme,Automatic updates,Scripting language,Push notifications
AndroidChat,?,?,?,?,?,?,?
Mobile Colloquy,Yes,Yes,No,Yes,Yes,No,Yes
fIRC,?,?,?,?,?,?,?
jmIrc,No,Yes,Yes,No,No,Yes,?
k-IRC,No,No,No,No,No,No,?
Revolution IRC,Yes,Yes,No,?,No,No,Yes
Virca,?,Yes,?,?,No,?,?
wIRC,?,?,Yes,?,?,?,?
WLIrc,?,No,?,?,No,?,?
Yaaic,Yes,Yes,No,No,Yes,No,?
Simple IRC,Yes,Yes,No,No,No,No,Yes
zsIRC,Yes,Yes,No,No,Yes,No,?
Client,Multi-server,UTF-8,Proxy server,irc:// URI scheme,Automatic updates,Scripting language,Push notifications
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
