Title,Publisher,First published,Latest edition,Year,Pages,Entries (approx.),Main dialect,Pronunciation guide
<<<<<<< HEAD
American Heritage College Dictionary,Houghton Mifflin Harcourt,2002,4th[2] (0-547-24766-4),2010,,,American,Diacritical
Merriam-Webster's Collegiate Dictionary,Merriam-Webster,1898,11th (0-8777-9809-5),2003,,,American,Diacritical
Webster's New World College Dictionary,Houghton Mifflin Harcourt,1953,5th,2014,,,American,Diacritical
=======
American Heritage Dictionary (AHD),Houghton Mifflin Harcourt,1969,5th (0-547-04101-2),2011,,,American,Diacritical
The Chambers Dictionary,Chambers Harrap,1872,13th (9781473602250),2014,,,British,Diacritical
Collins English Dictionary,HarperCollins,1979,12th (9780007522743),2014,,,British,IPA
Concise Oxford English Dictionary (COED),Oxford University Press,1911,12th (9780199601080),2011,,,British,IPA
The Merriam-Webster Dictionary (MWD),Merriam-Webster,1828,18th (978-0-87779-668-8),2016,",,American,Diacritical
New Oxford American Dictionary (NOAD),Oxford University Press,2001,3rd (0-19-539288-4),2010,,,American,Diacritical
Oxford Dictionary of English,Oxford University Press,1998,3rd (0-19-957112-0),2010,,,British,IPA
Oxford English Dictionary (OED),Oxford University Press,1895,"2nd (20 vols., 0-19-861186-2)",1989,,,British,IPA
Random House Webster's,Random House,1966,"2nd (rev., 978-0375425998)",2002,,,American,Diacritical
Shorter Oxford English Dictionary (SOED),Oxford University Press,1933,"6th (2 vol., 9780199206872)",2007,,,British,IPA
Webster's Third New International Dictionary (W3),Merriam-Webster,1961,3rd (0-87-779201-1),2002,,,American,Diacritical
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
