<<<<<<< HEAD
NMDC Client,FOSS,Software license,Active,Windows,Linux,Mac OS X,Other OS,GUI,CLI,Other UI,Programming language,Based on
MLDonkey,,GNU GPL,,,,,,,,WebUI,"OCaml, C, assembly",
Shareaza,,GNU GPL,,,,,,,,,C++,
NeoModus Direct Connect,,,,,,,,,,,"Visual Basic, C++",
ShakesPeer,,GNU GPL,,,,,,,,,C,
Valknut,,GNU GPL,,,,,FreeBSD,,,,C++,
DCTC,,GNU GPL,,,,,,,,,C++,
DC#,,GNU GPL,,,,,,,,,C#,
LDCC,,GNU GPLv2,,,,,,,,,C,
DCDM++,,GNU GPL,,,,,,,,,C++,DC++
fulDC,,GNU GPL,,,,,,,,,C++,DC++
RevConnect,,GNU GPL,,,,,,,,,C++,DC++
CzDC,,GNU GPL,,,,,,,,,C++,DC++
EiskaltDC,,GNU GPL,,,,,FreeBSD,,,,C++,Valknut
ncdc,, MIT Licence,,,,,FreeBSD,,,,C,
NMDC Client,FOSS,Software license,Active,Windows,Linux,Mac OS X,Other OS,GUI,CLI,Other UI,Programming language,Based on
=======
NMDC[1] hub,FOSS,Software license,Active,Latest version (release date),GUI,CLI,Other,IPv6 support,Programming language,Based on,Notes
UFOHub,,,,8.19.9 (2019-Sep-05),,,,,,,
Verlihub,,GNU GPL,,1.2.0.0 (2019-03-10),,,,,"C++, Lua, Python, Perl",,
PTDCH,,GNU GPL,,Never released since 2008,,,,,"Visual Basic, Jscript, VBscript",DDCH,
Dtella,,GNU GPL,,1.2.9 (2015-06-07)[2],,,,,Python,,
HeXHub,,Open Software License,,5.12 (2014-03-01),,,,,Assembly,,
Open Direct Connect Hub,,GNU GPL,,0.8.3 (2014-08-14),,,,,"C, Perl",,Available in Debian[3] and OpenWrt[4]
Flexhub,,GNU AGPL,,Beta 0.2 svn 1469 (2013-10-22),,,,,Lua,,
PtokaX,,GNU GPL,,0.5.2.2 (2017-04-11)[5],,,,,"C++, Lua",,
RusHub,,GNU GPL,,2.3.10 (2012-06-10)[6],,,,,"C++, Lua",Verlihub[7],
Eximius[8],,,,2007,,,,,"C#, Lua",,
DB Hub,,GNU GPL,,0.451 (2008-02-08),,,,,,OpenDCHub,
openDCd,,GNU GPL,,2002,,,,,,,
DDCH DevDirect Connect Hub,,,,,,,,,"Visual Basic, Jscript",,
py-dchub,,MIT License,,0.2.4 (2006-02-13),,,,,Python,,
Aquila,,GNU GPL,,0.1.11-pre4-beta4 (2015-02-17),,,,,"C++, Lua",,
YnHub,,,,1.0364.126 (2016-07-15),,,,,Delphi,,
LamaHub,,GNU GPL,,0.0.6.3 (2010-04-25),,,,,C,,
DC Sharp Hub,,GNU GPL,,3.0.4 beta (2004-09-06),,,,,C#,,
NMDC hub,FOSS,Software license,Active,Latest version (release date),GUI,CLI,Other,IPv6 support,Programming language,Based on,
>>>>>>> ff4582384893868142f1b485861afa33c91d9c67
