<<<<<<< HEAD
Engine,Origin,Designer,Vehicle,Status,Use,Propellant,"Specific impulse (s)name=VSLAt sea level if denoted SL, in vacuum otherwise",Thrust (N)name=VSL,Mass (kg),Thrust:Weight is calculated at standard gravity.,Chamber pressure (bar),Oxidiser:
Aeon 1,USA,Relativity Space,Terran 1,Development,1st,CH4?/?LOX,310,"86,740 (SL)[1]",,,,
Aeon 1 Vacuum,USA,Relativity Space,Terran 1,Development,2nd,CH4?/?LOX,360,"100,085 (SL)[1]",,,,
AJ-10-190,USA,Aerojet,Space Shuttle Orion,Active,Upper,N2O4/MMH,316[2],26689[2],118[2],23.08,8.62[2],
AJ-60A,USA,Aerojet,Atlas V,Active,Booster,HTPB,275,"1,270,000[3]",,,,
AR1,USA,Aerojet Rocketdyne,Beta (potential)[4],Development,1st,RP-1?/?LOX,,"2,200,000 (SL)[5]",,,,2.72
BE-3,USA,Blue Origin,New Shepard,Active,1st,LH2?/?LOX,,"490,000[6]",,,,
BE-3U,USA,Blue Origin,New Glenn,Development,2nd,LH2?/?LOX,,"710,000[6]",,,,
BE-4,USA,Blue Origin,New Glenn Vulcan,Development,1st,CH4?/?LOX,,"2,400,000[7][8]",,,134[9],
CE-20,India,LPSC,GSLV Mk III,Active,Upper,LH2?/?LOX,443,"200,000",588,34.7,60.00,5.05
CE-7.5,India,LPSC,GSLV Mk II,Active,Upper,LH2?/?LOX,454[10],"73,500",445,16.85,58,
Engine-2,USA,Launcher Space,Rocket-1,Development,1st,RP-1 / LOX,327[11] 290 (SL),"100,000[11]",,,,2.62
Engine-2 Vacuum,USA,Launcher Space,Rocket-1,Development,2nd,RP-1 / LOX,365[11],"100,000[11]",,,,2.62
GEM 63,USA,Northrop Grumman,Atlas V,Development,Booster,HTPB,,"1,662,745[12]","44,225",,,
GEM 63XL,USA,Northrop Grumman,Vulcan,Development,Booster,HTPB,,2025720[12],"47,990",,,
Hadley,USA,Ursa Major Technologies,GOLauncher 1[13],Development,1st,RP-1?/?LOX,,"22,241 (SL)[14]",,,,
HM-7B,,Snecma,Ariane 2 Ariane 3 Ariane 4 Ariane 5 ECA,Active,Upper,LH2?/?LOX,446[15] 310 (SL)[16],"64,800[15] 43,600 (SL)[16]",165[15],43.25,37[15],5
LE-5B,Japan,Mitsubishi JAXA,H-IIA H-IIB,Active,Upper,LH2?/?LOX,447[17],"137,000",269,51.93,36.0,5
LE-7A,Japan,Mitsubishi JAXA,H-IIA H-IIB,Active,1st,LH2?/?LOX,438[18] 338 (SL)[18],"1,098,000 870,000 (SL)","1,800",62.2,121,5.9
Lightning 1,USA,Firefly Aerospace,Alpha,Development,2nd,RP-1?/?LOX,322[19],"70,100[19]",,,,
Merlin 1D FT,USA,SpaceX,Falcon 9 B5 Falcon Heavy,Active,1st,RP-1?/?LOX,311,"914,000[20] 845,000 (SL)[20]",470,194.5[20],,
Merlin Vacuum 1D,USA,SpaceX,Falcon 9 B5 Falcon Heavy,Active,2nd,RP-1?/?LOX,348[21],"981,000[22]",,,,2.36
Mira (LM10),Italy,Avio,Vega E[23],Development,3rd[23],CH4?/?LOX[23],362.3[23],"98,100[23]",250[23],40[23],,3.4[23]
NewtonThree,USA,Virgin Galactic,LauncherOne,Development,Booster,RP-1?/?LOX,,"266,893[24]",,,,
NewtonFour,USA,Virgin Galactic,LauncherOne,Development,2nd,RP-1?/?LOX,,"22,241[24]",,,,
NK-33A (AJ26-62) 11?111?/?14?15,USSR,JSC Kuznetsov,Antares 100 Soyuz-2-1v,Active,1st,RP-1?/?LOX,331[25] 297 (SL),"1,680,000 1,510,000 (SL)","1,222",136.8,145,
P80,,Avio,Vega,Active,1st,HTPB,280[26],"3,015,000[26]","96,000 with fuel",,,
P120C,,Avio,Ariane 6 Vega-C,Development,"Booster, 1st",HTPB,279[27],"4,650,000[27]","161,000 with fuel[27]",,,
P230,,Avio,Ariane 5,Active,Booster,HTPB,286[28] 259 (SL),"6,470,000 5,860,000 (SL)","269,000 with fuel[28]",,,
S139,India,SDSC,PSLV,Active,1st,HTPB,269[29],"486,0000","160,200 with fuel",,58,
Raptor[30],USA,SpaceX,Starship,Development,"1st, 2nd",CH4?/?LOX,356[31] 330 (SL),"2,205,000 (SL, est)[32]",1360prefix=~ (goal)[33],170prefix=? (goal)[33],330[34],3.6[35]
Raptor Vacuum[30],USA,SpaceX,Starship,Development,2nd,CH4?/?LOX,380+[36],"2,150,000[37]",1360prefix=~ (goal)[33],120prefix=? (goal)[33],330[34],3.6[35]
RD-0124 14?23,Russia,KBKhA,Soyuz-2.1b Soyuz-2-1v Angara,Active,"2nd, 3rd",RP-1?/?LOX,359[38],"294,300",520,57.7,160,
RD-0146D,Russia,KBKhA,Angara,Development,Upper,LH2?/?LOX,470[39],"68,600",,,59,
RD-107A 14?22,Russia,NPO Energomash,Soyuz-FG Soyuz-2,Active,1st,RP-1?/?LOX,320.2[40] 263.3 (SL),"1,019,892 839,449 (SL)","1,090",78.53,61.2,
RD-108A 14?21,Russia,NPO Energomash,Soyuz-FG Soyuz-2,Active,2nd,RP-1?/?LOX,320.6[40] 257.7 (SL),"921,825 792,377 (SL)","1,075",75.16,55.5,
RD-171Mname=RD-170Most powerful multi-chamber rocket engine in the world11?520,Russia,NPO Energomash,Zenit-2M Zenit-3SL Zenit-3SLB Zenit-3SLBF Soyuz-5,Active,1st,RP-1?/?LOX,337.2[41] 309.5 (SL),"7,904,160 7,256,921 (SL)","9,300",79.57,250,
RD-180,Russia,NPO Energomash,Atlas V Atlas III,Active,1st,RP-1?/?LOX,338.4[42] 311.9 (SL),"4,152,136 3,826,555 (SL)","5,480",71.2,261.7,2.72
RD-181,Russia,NPO Energomash,Antares 200,Active,1st,RP-1?/?LOX,339.2[43] 311.9 (SL),"2,085,000 1,922,000 (SL)","2,200",89,262.6,
